Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,Sat Sep 29 20:32:03 +0000 2018,0.4215,0.257,0.743,0.0,1
BBC,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,Sat Sep 29 17:02:12 +0000 2018,0.4215,0.135,0.865,0.0,2
BBC,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",Sat Sep 29 16:01:07 +0000 2018,-0.7003,0.0,0.707,0.293,3
BBC,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",Sat Sep 29 15:54:38 +0000 2018,0.5499,0.129,0.871,0.0,4
BBC,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",Sat Sep 29 15:02:04 +0000 2018,0.7088,0.329,0.671,0.0,5
BBC,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",Sat Sep 29 14:03:07 +0000 2018,0.0,0.0,1.0,0.0,6
BBC,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",Sat Sep 29 13:01:07 +0000 2018,-0.5256,0.0,0.747,0.253,7
BBC,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",Sat Sep 29 11:03:02 +0000 2018,-0.186,0.156,0.616,0.227,8
BBC,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",Sat Sep 29 10:03:05 +0000 2018,0.4939,0.181,0.819,0.0,9
BBC,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",Sat Sep 29 09:01:02 +0000 2018,-0.5267,0.0,0.746,0.254,10
BBC,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,Sat Sep 29 08:11:46 +0000 2018,0.6808,0.237,0.763,0.0,11
BBC,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",Sat Sep 29 08:05:03 +0000 2018,-0.1022,0.118,0.746,0.136,12
BBC,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",Sat Sep 29 07:03:06 +0000 2018,0.0,0.0,1.0,0.0,13
BBC,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",Sat Sep 29 06:31:00 +0000 2018,0.0,0.0,1.0,0.0,14
BBC,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",Fri Sep 28 20:31:03 +0000 2018,0.3595,0.135,0.865,0.0,15
BBC,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",Fri Sep 28 18:32:03 +0000 2018,-0.126,0.065,0.846,0.089,16
BBC,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA",Fri Sep 28 16:03:07 +0000 2018,0.7003,0.345,0.655,0.0,17
BBC,"😮🐙 You need to watch this seal slap a man with an octopus... 

https://t.co/Njn1fsWeXX",Fri Sep 28 15:01:02 +0000 2018,0.1531,0.118,0.882,0.0,18
BBC,In pictures: Politician mothers take their babies to work. 👶📷 https://t.co/wZ4NmFwkOn https://t.co/BTtyJu1WSX,Fri Sep 28 14:03:07 +0000 2018,0.0,0.0,1.0,0.0,19
BBC,"Why do we love bees, but hate wasps? https://t.co/2CM65SLLyE",Fri Sep 28 12:33:00 +0000 2018,-0.5346,0.177,0.478,0.345,20
BBC,"What kind of snack would you be? 🤔

Kids asking Tom Hardy difficult questions is the best thing you'll see today. 😂… https://t.co/8iFXGQhKlz",Fri Sep 28 11:04:06 +0000 2018,0.6597,0.227,0.691,0.082,21
BBC,"RT @BBCWomansHour: The 🚨TOP 10🚨 #WomenInMusic on the #WHPowerList have been revealed! 🌟 Featuring the most iconic performers, heads of labe…",Fri Sep 28 10:24:29 +0000 2018,0.0,0.0,1.0,0.0,22
BBC,"❤️ This story of a missing 49-year-old father is the most moving thing you'll watch today. 

https://t.co/8CYggzS9Hj",Fri Sep 28 10:02:06 +0000 2018,-0.296,0.0,0.879,0.121,23
BBC,"RT @bbcmusic: How are you celebrating #BBCMusicDay today? 

Here's 9 Things to watch out for, including @George_Ezra reading a bedtime stor…",Fri Sep 28 09:40:18 +0000 2018,0.5719,0.171,0.829,0.0,24
BBC,"How would you cope if you knew how you might die?

https://t.co/VbAFmeDCXQ",Fri Sep 28 09:04:01 +0000 2018,-0.5994,0.0,0.738,0.262,25
BBC,"Eggs as conditioner? 🥚🤷

Experts rate the beauty tips that our mums swore by. 👉 https://t.co/HGSuMbUNOj https://t.co/uoUg0LYfQp",Fri Sep 28 08:04:02 +0000 2018,0.5859,0.167,0.833,0.0,26
BBC,"Are children getting too much homework in the UK? 📚🖍

Comedian @robdelaney says kids' workload is ""madness"".… https://t.co/i16FsfwKNb",Fri Sep 28 07:32:06 +0000 2018,0.3818,0.133,0.867,0.0,27
BBC,"Here's some useful advice on how you can help hedgehogs at this time of year. 🦔

https://t.co/TKgF4H0ktl",Fri Sep 28 07:01:05 +0000 2018,0.6808,0.272,0.728,0.0,28
BBC,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their ski… https://t.co/WXXa78QNdD",Thu Sep 27 17:02:07 +0000 2018,0.2263,0.155,0.756,0.089,29
BBC,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴… https://t.co/innpVg70hh,Thu Sep 27 16:03:09 +0000 2018,-0.128,0.0,0.933,0.067,30
BBC,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP",Thu Sep 27 15:31:07 +0000 2018,-0.5574,0.0,0.806,0.194,31
BBC,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt",Thu Sep 27 15:06:35 +0000 2018,0.5719,0.171,0.829,0.0,32
BBC,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of in… https://t.co/EF0u3XM6Nj",Thu Sep 27 14:03:05 +0000 2018,-0.4201,0.0,0.883,0.117,33
BBC,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/HEtqsCQbly",Thu Sep 27 13:46:00 +0000 2018,0.4939,0.122,0.878,0.0,34
BBC,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,Thu Sep 27 13:10:27 +0000 2018,0.0,0.0,1.0,0.0,35
